year,region,streams
2020,Argentina,4382740893.0
2020,Australia,4387117844.0
2020,Austria,640341507.0
2020,Belgium,970264297.0
2020,Bolivia,314910011.0
2020,Brazil,12523039097.0
2020,Bulgaria,52132756.0
2020,Canada,4296694554.0
2020,Chile,4102028311.0
2020,Colombia,1500021146.0
2020,Costa Rica,516445805.0
2020,Czech Republic,482847404.0
2020,Denmark,1398716974.0
2020,Dominican Republic,288664514.0
2020,Ecuador,705964070.0
2020,Egypt,103011679.0
2020,El Salvador,279249180.0
2020,Estonia,51928455.0
2020,Finland,952443082.0
2020,France,5959047450.0
2020,Germany,9672041206.0
2020,Global,95195932406.0
2020,Greece,371808606.0
2020,Guatemala,600645528.0
2020,Honduras,217136648.0
2020,Hong Kong,358828665.0
2020,Hungary,341726064.0
2020,Iceland,91299891.0
2020,India,3267495348.0
2020,Indonesia,4549361612.0
2020,Ireland,885638271.0
2020,Israel,385374927.0
2020,Italy,6017279984.0
2020,Japan,3298962653.0
2020,Latvia,67959944.0
2020,Lithuania,78718341.0
2020,Luxembourg,3261926.0
2020,Malaysia,915321864.0
2020,Mexico,11678777603.0
2020,Morocco,125608803.0
2020,Netherlands,3979671840.0
2020,New Zealand,865063406.0
2020,Nicaragua,83755660.0
2020,Norway,1693332729.0
2020,Panama,278356478.0
2020,Paraguay,618563863.0
2020,Peru,1889171624.0
2020,Philippines,4000302402.0
2020,Poland,2279660175.0
2020,Portugal,666963600.0
2020,Romania,248795484.0
2020,Russia,564508230.0
2020,Saudi Arabia,228163658.0
2020,Singapore,806284144.0
2020,Slovakia,199675788.0
2020,South Africa,252712515.0
2020,Spain,6456390158.0
2020,Sweden,2904289542.0
2020,Switzerland,804564204.0
2020,Taiwan,906169262.0
2020,Thailand,1151560903.0
2020,Turkey,3449183711.0
2020,Ukraine,103412215.0
2020,United Arab Emirates,107877940.0
2020,United Kingdom,7357028347.0
2020,United States,28693228141.0
2020,Uruguay,309588645.0
2020,Vietnam,466621801.0
2021,Andorra,0.0
2021,Argentina,5347559814.0
2021,Australia,4042200817.0
2021,Austria,658264686.0
2021,Belgium,904095529.0
2021,Bolivia,379690676.0
2021,Brazil,16426316020.0
2021,Bulgaria,79211348.0
2021,Canada,3868025288.0
2021,Chile,4028469685.0
2021,Colombia,1594370459.0
2021,Costa Rica,455333346.0
2021,Czech Republic,496837106.0
2021,Denmark,1121892825.0
2021,Dominican Republic,280233173.0
2021,Ecuador,695637587.0
2021,Egypt,202940120.0
2021,El Salvador,310990982.0
2021,Estonia,52417324.0
2021,Finland,776745204.0
2021,France,5286611939.0
2021,Germany,7635865814.0
2021,Global,95743903046.0
2021,Greece,523673330.0
2021,Guatemala,644425845.0
2021,Honduras,224363571.0
2021,Hong Kong,422077405.0
2021,Hungary,364538430.0
2021,Iceland,70888951.0
2021,India,4974301230.0
2021,Indonesia,4672260854.0
2021,Ireland,788651221.0
2021,Israel,466563005.0
2021,Italy,6006812529.0
2021,Japan,4198200691.0
2021,Latvia,67846522.0
2021,Lithuania,106754125.0
2021,Luxembourg,2778646.0
2021,Malaysia,866412042.0
2021,Mexico,11230484320.0
2021,Morocco,272761567.0
2021,Netherlands,3457617587.0
2021,New Zealand,724863794.0
2021,Nicaragua,103745963.0
2021,Norway,1460286232.0
2021,Panama,267968503.0
2021,Paraguay,667240168.0
2021,Peru,1779425375.0
2021,Philippines,3995581253.0
2021,Poland,2821381057.0
2021,Portugal,665629395.0
2021,Romania,252246469.0
2021,Russia,1561729901.0
2021,Saudi Arabia,250247626.0
2021,Singapore,720959791.0
2021,Slovakia,194395742.0
2021,South Africa,349128456.0
2021,South Korea,160064720.0
2021,Spain,6534665053.0
2021,Sweden,2502600968.0
2021,Switzerland,734858709.0
2021,Taiwan,801676191.0
2021,Thailand,1027852187.0
2021,Turkey,4041980967.0
2021,Ukraine,333264348.0
2021,United Arab Emirates,163635143.0
2021,United Kingdom,6563064164.0
2021,United States,27096111305.0
2021,Uruguay,331440950.0
2021,Vietnam,614377202.0
