year,artist,streams
2017,"360, Teischa",0.0
2017,"365, Djahboy, Aziz Wrijving",0.0
2017,"365, Djahboy, Ir Sais",0.0
2017,"3BallMTY, Chyno Miranda, El Jova",0.0
2017,3JS,0.0
2017,"3LAU, LUNA AURA",0.0
2017,"3LAU, Said The Sky",0.0
2017,"3LAU, Yeah Boy",0.0
2017,3Plusss,0.0
2017,3SOME,0.0
2017,3TM,0.0
2017,3Yeah,0.0
2017,"3ofakind, La Baby, Jermaine Niffer",0.0
2017,3robi,5192535.0
2017,"3robi, Kingsize",52589.0
2017,"3robi, Kingsize, LouiVos",73420.0
2017,"3robi, LouiVos, Bartofso",111295.0
2017,"3robi, Mula B",204237.0
2017,3uki,0.0
2017,4 Babys,0.0
2017,4 Non Blondes,61852.0
2017,"4 Strings, Denise Rivera",0.0
2017,4 Tune Fairytales,0.0
2017,40,0.0
2017,45ACIDBABIES,0.0
2017,485c,0.0
2017,4D,0.0
2017,4Fate,0.0
2017,4Keus Gang,3378253.0
2017,"4Keus Gang, Q.E Favelas",0.0
2017,4Minute,0.0
2017,4SQUAD,0.0
2017,4Th Impact,0.0
2017,"4hero, Carina Andersson",0.0
2017,4pro,0.0
2017,4ti,0.0
2017,5 After Midnight,3172245.0
2017,5 Seconds of Summer,0.0
2017,50 Cent,677718.0
2017,"50 Cent, Justin Timberlake, Timbaland",32990.0
2017,"50 Cent, Olivia",101858.0
2017,51(伍冠諺X易桀齊),0.0
2017,53A,7124.0
2017,5LOOPS,0.0
2017,5MIINUST,4115.0
2017,"5MIINUST, Beebiloust",0.0
2017,5NAPBACK,114472.0
2017,"5NAPBACK, LAURELL",0.0
2017,6 Voltios,0.0
2017,60 Tigres,0.0
2017,"612, Lille Leon, T_boyofficial",0.0
2017,"612, T_boyofficial, Slim Tim",0.0
2017,"6150, EPK",22805.0
2017,666,0.0
2017,69 Nombres,0.0
2017,6LACK,117727684.0
2017,"6LACK, Jhené Aiko",0.0
2017,6cyclemind,9104885.0
2017,6ix9ine,40866377.0
2017,7 Days In Alaska,0.0
2017,7 Jaws,0.0
2017,7!!,0.0
2017,702,0.0
2017,718 Spank,0.0
2017,77 Bombay Street,28150.0
2017,7AM,0.0
2017,"7liwa, A6Gang, Laïoung, Isi Noice",0.0
2017,8 Ball,0.0
